Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Sex,Sex Code,Age Groups,Age Groups Code,Year,Year Code,Count,Population,Crude Rate
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2010,2010,0,29108,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2011,2011,0,28735,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2012,2012,0,28794,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2013,2013,0,28219,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2014,2014,0,28610,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2015,2015,0,29097,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2017,2017,0,28391,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2018,2018,0,28404,0
Pancreas,21100,Alabama,1,Female,F,< 1 year,1,2019,2019,0,27728,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2010,2010,0,120139,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2011,2011,0,119517,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2012,2012,0,117864,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2013,2013,0,116391,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2014,2014,0,115379,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2015,2015,0,115150,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2016,2016,0,115805,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2017,2017,0,116247,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2018,2018,0,116436,0
Pancreas,21100,Alabama,1,Female,F,1-4 years,4-Jan,2019,2019,0,116456,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2010,2010,0,150475,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2011,2011,0,149411,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2012,2012,0,149767,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2013,2013,0,150451,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2014,2014,0,150220,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2015,2015,0,149875,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2016,2016,0,149083,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2018,2018,0,146109,0
Pancreas,21100,Alabama,1,Female,F,5-9 years,9-May,2019,2019,0,146176,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2010,2010,0,156518,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2011,2011,0,157359,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2012,2012,0,156811,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2013,2013,0,155509,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2014,2014,0,154062,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2015,2015,0,151758,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2016,2016,0,150267,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2017,2017,0,150844,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2018,2018,0,152282,0
Pancreas,21100,Alabama,1,Female,F,10-14 years,14-Oct,2019,2019,0,152554,0
Pancreas,21100,Alabama,1,Female,F,15-19 years,15-19,2010,2010,0,166861,0
Pancreas,21100,Alabama,1,Female,F,15-19 years,15-19,2012,2012,0,158363,0
Pancreas,21100,Alabama,1,Female,F,15-19 years,15-19,2013,2013,0,157686,0
Pancreas,21100,Alabama,1,Female,F,15-19 years,15-19,2014,2014,0,156561,0
Pancreas,21100,Alabama,1,Female,F,15-19 years,15-19,2017,2017,0,156949,0
Pancreas,21100,Alabama,1,Female,F,20-24 years,20-24,2010,2010,0,169153,0
