Leading Cancer Sites,Leading Cancer Sites Code,Race,Race Code,Sex,Sex Code,Age Groups,Age Groups Code,Year,Year Code,Count,Population,Crude Rate
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2010,2010,0,38735,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2011,2011,0,39476,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2012,2012,0,40718,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2013,2013,0,39803,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2014,2014,0,40186,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2015,2015,0,40257,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2016,2016,0,40286,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2017,2017,0,40966,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2018,2018,0,40388,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,< 1 year,1,2019,2019,0,40196,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2010,2010,0,154881,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2011,2011,0,155132,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2012,2012,0,155349,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2013,2013,0,156934,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2014,2014,0,158918,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2015,2015,0,160514,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2016,2016,0,161283,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2017,2017,0,160810,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2018,2018,0,160081,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,1-4 years,4-Jan,2019,2019,0,160553,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2010,2010,0,186604,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2011,2011,0,188097,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2012,2012,0,190697,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2013,2013,0,192854,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2014,2014,0,193228,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2015,2015,0,193662,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2016,2016,0,194748,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2018,2018,0,195239,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,5-9 years,9-May,2019,2019,0,197602,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2010,2010,0,183501,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2011,2011,0,184509,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2012,2012,0,184788,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2013,2013,0,184889,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2014,2014,0,185742,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2015,2015,0,186680,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2016,2016,0,188162,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2017,2017,0,190962,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2018,2018,0,190903,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,10-14 years,14-Oct,2019,2019,0,191172,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2010,2010,0,190740,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2011,2011,0,188298,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2013,2013,0,183930,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2015,2015,0,184143,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2016,2016,0,185322,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2017,2017,0,185559,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,15-19 years,15-19,2018,2018,0,183382,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2010,2010,0,174069,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2011,2011,0,179465,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2012,2012,0,185413,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2013,2013,0,189594,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2014,2014,0,192356,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2015,2015,0,191891,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2017,2017,0,187131,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2018,2018,0,183233,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,20-24 years,20-24,2019,2019,0,182198,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,25-29 years,25-29,2012,2012,0,166300,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,25-29 years,25-29,2013,2013,0,167672,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,25-29 years,25-29,2014,2014,0,170497,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,25-29 years,25-29,2015,2015,0,174992,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,25-29 years,25-29,2016,2016,0,180712,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,25-29 years,25-29,2018,2018,0,188485,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,30-34 years,30-34,2010,2010,0,152105,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,30-34 years,30-34,2011,2011,0,155754,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,30-34 years,30-34,2012,2012,0,158569,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,35-39 years,35-39,2010,2010,0,143475,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,35-39 years,35-39,2019,2019,0,161166,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,40-44 years,40-44,2012,2012,0,141533,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,40-44 years,40-44,2015,2015,0,142312,0
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,55-59 years,55-59,2011,2011,16,108409,14.8
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,55-59 years,55-59,2014,2014,20,122908,16.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,55-59 years,55-59,2018,2018,22,132896,16.6
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,55-59 years,55-59,2019,2019,20,134332,14.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2011,2011,16,83314,19.2
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2012,2012,27,86131,31.3
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2013,2013,17,89983,18.9
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2014,2014,19,94419,20.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2015,2015,16,99167,16.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2016,2016,21,104369,20.1
Pancreas,21100,American Indian or Alaska Native,1002-5,Female,F,60-64 years ,60-64,2017,2017,25,109583,22.8
